Timing Belt 6mm,Quantity in project,Quantity of packs,Unit Price £,Total Price £,URL,TOTAL (£),TOTAL ($)
600mm Aluminium extrusion,3,1,11.85,47.37,Al extrusion 600mm 4pcs,185.03,251.73
V Wheels,12,1,0.44,10.54,V Wheels set 24pcs,,
Limit Switches,4,1,0.3,1.48,Limit Switches 5pcs,,
NEMA 17,2,1,7.18,21.53,NEMA 17,,
Timing Belt 6mm,3m,1,4.14,4.14,Timing belt 6mm,,
Belt Pulley,2,1,1,5,Belt Pulley,,
Belt idler,2,1,2.4,4.79,Idler Pully,,
Esp32 30pin devkit v1,1,1,3.88,3.88,Esp32 30pin devkit v1,,
A4988 Motor Driver,2,2,1.17,2.34,A4988,,
JST 3 pin connectors,2,1,0.1,1.02,JST XH 2.54 3 pin connector 10pcs,,
JST 4 pin connectors,2,1,0.12,1.23,JST XH 2.54 4 pin connector 10pcs,,
JST wire connectors,2,1,0.148,1.48,JST wire connectors,,
8pin Pin socket,4,1,0.1,1.02,8pin socket 10pcs,,
DC barrel jack ,1,1,0.12,1.21,DC barrel jack 5.5mm/2.1mm 10pcs,,
7805 5V reg,1,1,0.104,1.04,7805 5V,,
100microfarads capacitor,3,1,0.1,2.08,100mf capacitor,,
1uf microfarads capacitor,1,1,0.117,2.34,1uf,,
15pin socket,2,1,0.124,1.24,15pin socket,,
Pin header Breakaway,10,1,0.339,3.39,breakable pin header,,
12V 3A power supply,1,1,4.51,4.51,12V 3A power supply,,
 Servo SG90,1,1,1.23,1.23,SG90 Servo,,
5mm(D) 45mm(L) Shaft,2,1,0.37,2.59,5mm/45mm Shaft,,
10mm spring ID5mm,2,1,0.1,1.04,10mm spring 10pcs,,
6mm Spacer M5,25,3,0.04,1.14,Spacer 10pcs,,
M5 Sliding Nuts,12,1,0.09,1.79,Sliding nuts M5 20pcs,,
M5 Bolts ,30,1,0.04,9.54,M5 bolts 242pcs,,
M5 40mm (connecting plates),12,1,0.21,4.15,M5 40mm 20pcs,,
M3 4mm for NEMA 17,8,1,0.02,1.15,M3 4mm 50pcs,,
M5 Nyloc nuts,30,1,0.33,3.34,M5 Nyloc nuts 100pcs,,
Multistrand wire,2m,1,1.25,1.25,Multistrand wire,,
Cable spiral wrap,-,1,3.32,3.32,Cable spiral wrap,,
3D prints delivery,-,-,-,10,,,
PCB cost,-,-,-,5,,,
Shipping,,,,17.86,,,
